year,award_type,win_type,contributor_name,movie_name
1990,directing,winner,Kevin Costner,Dances With Wolves
1990,directing,nominee,Francis Ford Coppola,"The Godfather, Part III"
1990,directing,nominee,Martin Scorsese,Good Fellas
1990,directing,nominee,Stephen Frears,The Grifters
1990,directing,nominee,Barbet Schroeder,Reversal of Fortune
1991,directing,nominee,John Singleton,Boyz N the Hood
1991,directing,nominee,Barry Levinson,Bugsy
1991,directing,nominee,Oliver Stone,JFK
1991,directing,winner,Jonathan Demme,The Silence of the Lambs
1991,directing,nominee,Ridley Scott,Thelma & Louise
1992,directing,nominee,Neil Jordan,The Crying Game
1992,directing,nominee,James Ivory,Howards End
1992,directing,nominee,Robert Altman,The Player
1992,directing,nominee,Martin Brest,Scent of a Woman
1992,directing,winner,Clint Eastwood,Unforgiven
1993,directing,nominee,Jim Sheridan,In the Name of the Father
1993,directing,nominee,Jane Campion,The Piano
1993,directing,nominee,James Ivory,The Remains of the Day
1993,directing,winner,Steven Spielberg,Schindler's List
1993,directing,nominee,Robert Altman,Short Cuts
1994,directing,nominee,Woody Allen,Bullets over Broadway
1994,directing,winner,Robert Zemeckis,Forrest Gump
1994,directing,nominee,Quentin Tarantino,Pulp Fiction
1994,directing,nominee,Robert Redford,Quiz Show
1994,directing,nominee,Krzysztof Kieslowski,Red
1995,directing,nominee,Chris Noonan,Babe
1995,directing,winner,Mel Gibson,Braveheart
1995,directing,nominee,Tim Robbins,Dead Man Walking
1995,directing,nominee,Mike Figgis,Leaving Las Vegas
1995,directing,nominee,Michael Radford,The Postman (Il Postino)
1996,directing,winner,Anthony Minghella,The English Patient
1996,directing,nominee,Joel Coen,Fargo
1996,directing,nominee,Milos Forman,The People vs. Larry Flynt
1996,directing,nominee,Mike Leigh,Secrets & Lies
1996,directing,nominee,Scott Hicks,Shine
1997,directing,nominee,Peter Cattaneo,The Full Monty
1997,directing,nominee,Gus Van Sant,Good Will Hunting
1997,directing,nominee,Curtis Hanson,L.A. Confidential
1997,directing,nominee,Atom Egoyan,The Sweet Hereafter
1997,directing,winner,James Cameron,Titanic
1998,directing,nominee,Roberto Benigni,Life Is Beautiful
1998,directing,winner,Steven Spielberg,Saving Private Ryan
1998,directing,nominee,John Madden,Shakespeare in Love
1998,directing,nominee,Terrence Malick,The Thin Red Line
1998,directing,nominee,Peter Weir,The Truman Show
1999,directing,winner,Sam Mendes,American Beauty
1999,directing,nominee,Spike Jonze,Being John Malkovich
1999,directing,nominee,Lasse Hallström,The Cider House Rules
1999,directing,nominee,Michael Mann,The Insider
1999,directing,nominee,M. Night Shyamalan,The Sixth Sense
2000,directing,nominee,Stephen Daldry,Billy Elliot
2000,directing,nominee,Ang Lee,"Crouching Tiger, Hidden Dragon"
2000,directing,nominee,Steven Soderbergh,Erin Brockovich
2000,directing,nominee,Ridley Scott,Gladiator
2000,directing,winner,Steven Soderbergh,Traffic
2001,directing,winner,Ron Howard,A Beautiful Mind
2001,directing,nominee,Ridley Scott,Black Hawk Down
2001,directing,nominee,Robert Altman,Gosford Park
2001,directing,nominee,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring
2001,directing,nominee,David Lynch,Mulholland Drive
2002,directing,nominee,Rob Marshall,Chicago
2002,directing,nominee,Martin Scorsese,Gangs of New York
2002,directing,nominee,Stephen Daldry,The Hours
2002,directing,winner,Roman Polanski,The Pianist
2002,directing,nominee,Pedro Almodóvar,Talk to Her
2003,directing,nominee,Fernando Meirelles,City of God
2003,directing,winner,Peter Jackson,The Lord of the Rings: The Return of the King
2003,directing,nominee,Sofia Coppola,Lost in Translation
2003,directing,nominee,Peter Weir,Master and Commander: The Far Side of the World
2003,directing,nominee,Clint Eastwood,Mystic River
2004,directing,nominee,Martin Scorsese,The Aviator
2004,directing,winner,Clint Eastwood,Million Dollar Baby
2004,directing,nominee,Taylor Hackford,Ray
2004,directing,nominee,Alexander Payne,Sideways
2004,directing,nominee,Mike Leigh,Vera Drake
2005,directing,winner,Ang Lee,Brokeback Mountain
2005,directing,nominee,Bennett Miller,Capote
2005,directing,nominee,Paul Haggis,Crash
2005,directing,nominee,George Clooney,"Good Night, and Good Luck."
2005,directing,nominee,Steven Spielberg,Munich
2006,directing,nominee,Alejandro González Iñárritu,Babel
2006,directing,winner,Martin Scorsese,The Departed
2006,directing,nominee,Clint Eastwood,Letters from Iwo Jima
2006,directing,nominee,Stephen Frears,The Queen
2006,directing,nominee,Paul Greengrass,United 93
2007,directing,nominee,Julian Schnabel,The Diving Bell and the Butterfly
2007,directing,nominee,Jason Reitman,Juno
2007,directing,nominee,Tony Gilroy,Michael Clayton
2007,directing,winner,"Joel Coen, Ethan Coen",No Country for Old Men
2007,directing,nominee,Paul Thomas Anderson,There Will Be Blood
2008,directing,nominee,David Fincher,The Curious Case of Benjamin Button
2008,directing,nominee,Ron Howard,Frost/Nixon
2008,directing,nominee,Gus Van Sant,Milk
2008,directing,nominee,Stephen Daldry,The Reader
2008,directing,winner,Danny Boyle,Slumdog Millionaire
2009,directing,nominee,James Cameron,Avatar
2009,directing,winner,Kathryn Bigelow,The Hurt Locker
2009,directing,nominee,Quentin Tarantino,Inglourious Basterds
2009,directing,nominee,Lee Daniels,Precious: Based on the Novel 'Push' by Sapphire
2009,directing,nominee,Jason Reitman,Up in the Air
2010,directing,nominee,Darren Aronofsky,Black Swan
2010,directing,nominee,David O. Russell,The Fighter
2010,directing,winner,Tom Hooper,The King's Speech
2010,directing,nominee,David Fincher,The Social Network
2010,directing,nominee,"Joel Coen, Ethan Coen",True Grit
2011,directing,winner,Michel Hazanavicius,The Artist
2011,directing,nominee,Alexander Payne,The Descendants
2011,directing,nominee,Martin Scorsese,Hugo
2011,directing,nominee,Woody Allen,Midnight in Paris
2011,directing,nominee,Terrence Malick,The Tree of Life
2012,directing,nominee,Michael Haneke,Amour
2012,directing,nominee,Benh Zeitlin,Beasts of the Southern Wild
2012,directing,winner,Ang Lee,Life of Pi
2012,directing,nominee,Steven Spielberg,Lincoln
2012,directing,nominee,David O. Russell,Silver Linings Playbook
2013,directing,nominee,David O. Russell,American Hustle
2013,directing,winner,Alfonso Cuarón,Gravity
2013,directing,nominee,Alexander Payne,Nebraska
2013,directing,nominee,Steve McQueen,12 Years a Slave
2013,directing,nominee,Martin Scorsese,The Wolf of Wall Street
1990,picture,nominee,"Walter F. Parkes, Lawrence Lasker, Producers",Awakenings
1990,picture,winner,"Jim Wilson, Kevin Costner, Producers",Dances With Wolves
1990,picture,nominee,"Lisa Weinstein, Producer",Ghost
1990,picture,nominee,"Francis Ford Coppola, Producer","The Godfather, Part III"
1990,picture,nominee,"Irwin Winkler, Producer",Good Fellas
1991,picture,nominee,"Don Hahn, Producer",Beauty and the Beast
1991,picture,nominee,"Mark Johnson, Barry Levinson, Warren Beatty, Producers",Bugsy
1991,picture,nominee,"A. Kitman Ho, Oliver Stone, Producers",JFK
1991,picture,nominee,"Barbra Streisand, Andrew Karsch, Producers",The Prince of Tides
1991,picture,winner,"Edward Saxon, Kenneth Utt, Ron Bozman, Producers",The Silence of the Lambs
1992,picture,nominee,"Stephen Woolley, Producer",The Crying Game
1992,picture,nominee,"David Brown, Rob Reiner, Andrew Scheinman, Producers",A Few Good Men
1992,picture,nominee,"Ismail Merchant, Producer",Howards End
1992,picture,nominee,"Martin Brest, Producer",Scent of a Woman
1992,picture,winner,"Clint Eastwood, Producer",Unforgiven
1993,picture,nominee,"Arnold Kopelson, Producer",The Fugitive
1993,picture,nominee,"Jim Sheridan, Producer",In the Name of the Father
1993,picture,nominee,"Jan Chapman, Producer",The Piano
1993,picture,nominee,"Mike Nichols, John Calley, Ismail Merchant, Producers",The Remains of the Day
1993,picture,winner,"Steven Spielberg, Gerald R. Molen, Branko Lustig, Producers",Schindler's List
1994,picture,winner,"Wendy Finerman, Steve Tisch, Steve Starkey, Producers",Forrest Gump
1994,picture,nominee,"Duncan Kenworthy, Producer",Four Weddings and a Funeral
1994,picture,nominee,"Lawrence Bender, Producer",Pulp Fiction
1994,picture,nominee,"Robert Redford, Michael Jacobs, Julian Krainin, Michael Nozik, Producers",Quiz Show
1994,picture,nominee,"Niki Marvin, Producer",The Shawshank Redemption
1995,picture,nominee,"Brian Grazer, Producer",Apollo 13
1995,picture,nominee,"George Miller, Doug Mitchell, Bill Miller, Producers",Babe
1995,picture,winner,"Mel Gibson, Alan Ladd Jr., Bruce Davey, Producers",Braveheart
1995,picture,nominee,"Mario Cecchi Gori, Vittorio Cecchi Gori, Gaetano Daniele, Producers",The Postman (Il Postino)
1995,picture,nominee,"Lindsay Doran, Producer",Sense and Sensibility
1996,picture,winner,"Saul Zaentz, Producer",The English Patient
1996,picture,nominee,"Ethan Coen, Producer",Fargo
1996,picture,nominee,"James L. Brooks, Laurence Mark, Richard Sakai, Cameron Crowe, Producers",Jerry Maguire
1996,picture,nominee,"Simon Channing-Williams, Producer",Secrets & Lies
1996,picture,nominee,"Jane Scott, Producer",Shine
1997,picture,nominee,"James L. Brooks, Bridget Johnson, Kristi Zea, Producers",As Good as It Gets
1997,picture,nominee,"Uberto Pasolini, Producer",The Full Monty
1997,picture,nominee,"Lawrence Bender, Producer",Good Will Hunting
1997,picture,nominee,"Arnon Milchan, Curtis Hanson, Michael Nathanson, Producers",L.A. Confidential
1997,picture,winner,"James Cameron, Jon Landau, Producers",Titanic
1998,picture,nominee,"Alison Owen, Eric Fellner, Tim Bevan, Producers",Elizabeth
1998,picture,nominee,"Elda Ferri, Gianluigi Braschi, Producers",Life Is Beautiful
1998,picture,nominee,"Steven Spielberg, Ian Bryce, Mark Gordon, Gary Levinsohn, Producers",Saving Private Ryan
1998,picture,winner,"David Parfitt, Donna Gigliotti, Harvey Weinstein, Edward Zwick, Marc Norman, Producers",Shakespeare in Love
1998,picture,nominee,"Robert Michael Geisler, John Roberdeau, Grant Hill, Producers",The Thin Red Line
1999,picture,winner,"Bruce Cohen, Dan Jinks, Producers",American Beauty
1999,picture,nominee,"Richard N. Gladstein, Producer",The Cider House Rules
1999,picture,nominee,"David Valdes, Frank Darabont, Producers",The Green Mile
1999,picture,nominee,"Michael Mann, Pieter Jan Brugge, Producers",The Insider
1999,picture,nominee,"Frank Marshall, Kathleen Kennedy, Barry Mendel, Producers",The Sixth Sense
2000,picture,nominee,"David Brown, Kit Golden, Leslie Holleran, Producers",Chocolat
2000,picture,nominee,"Bill Kong, Hsu Li Kong, Ang Lee, Producers","Crouching Tiger, Hidden Dragon"
2000,picture,nominee,"Danny DeVito, Michael Shamberg, Stacey Sher, Producers",Erin Brockovich
2000,picture,winner,"Douglas Wick, David Franzoni, Branko Lustig, Producers",Gladiator
2000,picture,nominee,"Edward Zwick, Marshall Herskovitz, Laura Bickford, Producers",Traffic
2001,picture,winner,"Brian Grazer, Ron Howard, Producers",A Beautiful Mind
2001,picture,nominee,"Robert Altman, Bob Balaban, David Levy, Producers",Gosford Park
2001,picture,nominee,"Graham Leader, Ross Katz, Todd Field, Producers",In the Bedroom
2001,picture,nominee,"Peter Jackson, Fran Walsh, Barrie M. Osborne, Producers",The Lord of the Rings: The Fellowship of the Ring
2001,picture,nominee,"Martin Brown, Baz Luhrmann, Fred Baron, Producers",Moulin Rouge
2002,picture,winner,"Martin Richards, Producer",Chicago
2002,picture,nominee,"Alberto Grimaldi, Harvey Weinstein, Producers",Gangs of New York
2002,picture,nominee,"Scott Rudin, Robert Fox, Producers",The Hours
2002,picture,nominee,"Barrie M. Osborne, Fran Walsh, Peter Jackson, Producers",The Lord of the Rings: The Two Towers
2002,picture,nominee,"Roman Polanski, Robert Benmussa, Alain Sarde, Producers",The Pianist
2003,picture,winner,"Barrie M. Osborne, Peter Jackson, Fran Walsh, Producers",The Lord of the Rings: The Return of the King
2003,picture,nominee,"Ross Katz, Sofia Coppola, Producers",Lost in Translation
2003,picture,nominee,"Samuel Goldwyn Jr., Peter Weir, Duncan Henderson, Producers",Master and Commander: The Far Side of the World
2003,picture,nominee,"Robert Lorenz, Judie G. Hoyt, Clint Eastwood, Producers",Mystic River
2003,picture,nominee,"Kathleen Kennedy, Frank Marshall, Gary Ross, Producers",Seabiscuit
2004,picture,nominee,"Michael Mann, Graham King, Producers",The Aviator
2004,picture,nominee,"Richard N. Gladstein, Nellie Bellflower, Producers",Finding Neverland
2004,picture,winner,"Clint Eastwood, Albert S. Ruddy, Tom Rosenberg, Producers",Million Dollar Baby
2004,picture,nominee,"Taylor Hackford, Stuart Benjamin, Howard Baldwin, Producers",Ray
2004,picture,nominee,"Michael London, Producer",Sideways
2005,picture,nominee,"Diana Ossana, James Schamus, Producers",Brokeback Mountain
2005,picture,nominee,"Caroline Baron, William Vince, Michael Ohoven, Producers",Capote
2005,picture,winner,"Paul Haggis, Cathy Schulman, Producers",Crash
2005,picture,nominee,"Grant Heslov, Producer","Good Night, and Good Luck."
2005,picture,nominee,"Kathleen Kennedy, Steven Spielberg, Barry Mendel, Producers",Munich
2006,picture,nominee,"Alejandro González Iñárritu, Jon Kilik, Steve Golin, Producers",Babel
2006,picture,winner,"Graham King, Producer",The Departed
2006,picture,nominee,"Clint Eastwood, Steven Spielberg, Robert Lorenz, Producers",Letters from Iwo Jima
2006,picture,nominee,"David T. Friendly, Peter Saraf, Marc Turtletaub, Producers",Little Miss Sunshine
2006,picture,nominee,"Andy Harries, Christine Langan, Tracey Seaward, Producers",The Queen
2007,picture,nominee,"Tim Bevan, Eric Fellner, Paul Webster, Producers",Atonement
2007,picture,nominee,"Lianne Halfon, Mason Novick, Russell Smith, Producers",Juno
2007,picture,nominee,"Sydney Pollack, Jennifer Fox, Kerry Orent, Producers",Michael Clayton
2007,picture,winner,"Scott Rudin, Ethan Coen, Joel Coen, Producers",No Country for Old Men
2007,picture,nominee,"JoAnne Sellar, Paul Thomas Anderson, Daniel Lupi, Producers",There Will Be Blood
2008,picture,nominee,"Kathleen Kennedy, Frank Marshall, Ceán Chaffin, Producers",The Curious Case of Benjamin Button
2008,picture,nominee,"Brian Grazer, Ron Howard, Eric Fellner, Producers",Frost/Nixon
2008,picture,nominee,"Dan Jinks, Bruce Cohen, Producers",Milk
2008,picture,nominee,"Anthony Minghella, Sydney Pollack, Donna Gigliotti, Redmond Morris, Producers",The Reader
2008,picture,winner,"Christian Colson, Producer",Slumdog Millionaire
2009,picture,nominee,"James Cameron, Jon Landau, Producers",Avatar
2009,picture,nominee,"Gil Netter, Andrew A. Kosove, Broderick Johnson, Producers",The Blind Side
2009,picture,nominee,"Peter Jackson, Carolynne Cunningham, Producers",District 9
2009,picture,nominee,"Finola Dwyer, Amanda Posey, Producers",An Education
2009,picture,winner,"Kathryn Bigelow, Mark Boal, Nicolas Chartier, Greg Shapiro, Producers",The Hurt Locker
2009,picture,nominee,"Lawrence Bender, Producer",Inglourious Basterds
2009,picture,nominee,"Lee Daniels, Sarah Siegel-Magness, Gary Magness, Producers",Precious: Based on the Novel 'Push' by Sapphire
2009,picture,nominee,"Joel Coen, Ethan Coen, Producers",A Serious Man
2009,picture,nominee,"Jonas Rivera, Producer",Up
2009,picture,nominee,"Daniel Dubiecki, Ivan Reitman, Jason Reitman, Producers",Up in the Air
2010,picture,nominee,"Mike Medavoy, Brian Oliver, Scott Franklin, Producers",Black Swan
2010,picture,nominee,"David Hoberman, Todd Lieberman, Mark Wahlberg, Producers",The Fighter
2010,picture,nominee,"Emma Thomas, Christopher Nolan, Producers",Inception
2010,picture,nominee,"Gary Gilbert, Jeffrey Levy-Hinte, Celine Rattray, Producers",The Kids Are All Right
2010,picture,winner,"Iain Canning, Emile Sherman, Gareth Unwin, Producers",The King's Speech
2010,picture,nominee,"Christian Colson, Danny Boyle, John Smithson, Producers",127 Hours
2010,picture,nominee,"Scott Rudin, Dana Brunetti, Michael De Luca, Ceán Chaffin, Producers",The Social Network
2010,picture,nominee,"Darla K. Anderson, Producer",Toy Story 3
2010,picture,nominee,"Scott Rudin, Ethan Coen, Joel Coen, Producers",True Grit
2010,picture,nominee,"Anne Rosellini, Alix Madigan-Yorkin, Producers",Winter's Bone
2011,picture,winner,"Thomas Langmann, Producer",The Artist
2011,picture,nominee,"Jim Burke, Alexander Payne, Jim Taylor, Producers",The Descendants
2011,picture,nominee,"Scott Rudin, Producer",Extremely Loud & Incredibly Close
2011,picture,nominee,"Brunson Green, Chris Columbus, Michael Barnathan, Producers",The Help
2011,picture,nominee,"Graham King, Martin Scorsese, Producers",Hugo
2011,picture,nominee,"Letty Aronson, Stephen Tenenbaum, Producers",Midnight in Paris
2011,picture,nominee,"Michael De Luca, Rachael Horovitz, Brad Pitt, Producers",Moneyball
2011,picture,nominee,"Sarah Green, Bill Pohlad, Dede Gardner, Grant Hill, Producers",The Tree of Life
2011,picture,nominee,"Steven Spielberg, Kathleen Kennedy, Producers",War Horse
2012,picture,nominee,"Margaret Menegoz, Stefan Arndt, Veit Heiduschka, Michael Katz, Producers",Amour
2012,picture,winner,"Grant Heslov, Ben Affleck, George Clooney, Producers",Argo
2012,picture,nominee,"Dan Janvey, Josh Penn, Michael Gottwald, Producers",Beasts of the Southern Wild
2012,picture,nominee,"Stacey Sher, Reginald Hudlin, Pilar Savone, Producers",Django Unchained
2012,picture,nominee,"Tim Bevan, Eric Fellner, Debra Hayward, Cameron Mackintosh, Producers",Les Misérables
2012,picture,nominee,"Gil Netter, Ang Lee, David Womark, Producers",Life of Pi
2012,picture,nominee,"Steven Spielberg, Kathleen Kennedy, Producers",Lincoln
2012,picture,nominee,"Donna Gigliotti, Bruce Cohen, Jonathan Gordon, Producers",Silver Linings Playbook
2012,picture,nominee,"Mark Boal, Kathryn Bigelow, Megan Ellison, Producers",Zero Dark Thirty
2013,picture,nominee,"Charles Roven, Richard Suckle, Megan Ellison, Jonathan Gordon, Producers",American Hustle
2013,picture,nominee,"Scott Rudin, Dana Brunetti, Michael De Luca, Producers",Captain Phillips
2013,picture,nominee,"Robbie Brenner, Rachel Winter, Producers",Dallas Buyers Club
2013,picture,nominee,"Alfonso Cuarón, David Heyman, Producers",Gravity
2013,picture,nominee,"Megan Ellison, Spike Jonze, Vincent Landay, Producers",Her
2013,picture,nominee,"Albert Berger, Ron Yerxa, Producers",Nebraska
2013,picture,nominee,"Gabrielle Tana, Steve Coogan, Tracey Seaward, Producers",Philomena
2013,picture,winner,"Brad Pitt, Dede Gardner, Jeremy Kleiner, Steve McQueen, Anthony Katagas, Producers",12 Years a Slave
2013,picture,nominee,"Martin Scorsese, Leonardo DiCaprio, Joey McFarland, Emma Tillinger Koskoff, Producers",The Wolf of Wall Street
1990,supporting_actor,nominee,Bruce Davison,Longtime Companion
1990,supporting_actor,nominee,Andy Garcia,"The Godfather, Part III"
1990,supporting_actor,nominee,Graham Greene,Dances With Wolves
1990,supporting_actor,nominee,Al Pacino,Dick Tracy
1990,supporting_actor,winner,Joe Pesci,Good Fellas
1991,supporting_actor,nominee,Tommy Lee Jones,JFK
1991,supporting_actor,nominee,Harvey Keitel,Bugsy
1991,supporting_actor,nominee,Ben Kingsley,Bugsy
1991,supporting_actor,nominee,Michael Lerner,Barton Fink
1991,supporting_actor,winner,Jack Palance,City Slickers
1992,supporting_actor,nominee,Jaye Davidson,The Crying Game
1992,supporting_actor,winner,Gene Hackman,Unforgiven
1992,supporting_actor,nominee,Jack Nicholson,A Few Good Men
1992,supporting_actor,nominee,Al Pacino,Glengarry Glen Ross
1992,supporting_actor,nominee,David Paymer,Mr. Saturday Night
1993,supporting_actor,nominee,Leonardo DiCaprio,What's Eating Gilbert Grape
1993,supporting_actor,nominee,Ralph Fiennes,Schindler's List
1993,supporting_actor,winner,Tommy Lee Jones,The Fugitive
1993,supporting_actor,nominee,John Malkovich,In the Line of Fire
1993,supporting_actor,nominee,Pete Postlethwaite,In the Name of the Father
1994,supporting_actor,nominee,Samuel L. Jackson,Pulp Fiction
1994,supporting_actor,winner,Martin Landau,Ed Wood
1994,supporting_actor,nominee,Chazz Palminteri,Bullets over Broadway
1994,supporting_actor,nominee,Paul Scofield,Quiz Show
1994,supporting_actor,nominee,Gary Sinise,Forrest Gump
1995,supporting_actor,nominee,James Cromwell,Babe
1995,supporting_actor,nominee,Ed Harris,Apollo 13
1995,supporting_actor,nominee,Brad Pitt,12 Monkeys
1995,supporting_actor,nominee,Tim Roth,Rob Roy
1995,supporting_actor,winner,Kevin Spacey,The Usual Suspects
1996,supporting_actor,winner,Cuba Gooding Jr.,Jerry Maguire
1996,supporting_actor,nominee,William H. Macy,Fargo
1996,supporting_actor,nominee,Armin Mueller-Stahl,Shine
1996,supporting_actor,nominee,Edward Norton,Primal Fear
1996,supporting_actor,nominee,James Woods,Ghosts of Mississippi
1997,supporting_actor,nominee,Robert Forster,Jackie Brown
1997,supporting_actor,nominee,Anthony Hopkins,Amistad
1997,supporting_actor,nominee,Greg Kinnear,As Good as It Gets
1997,supporting_actor,nominee,Burt Reynolds,Boogie Nights
1997,supporting_actor,winner,Robin Williams,Good Will Hunting
1998,supporting_actor,winner,James Coburn,Affliction
1998,supporting_actor,nominee,Robert Duvall,A Civil Action
1998,supporting_actor,nominee,Ed Harris,The Truman Show
1998,supporting_actor,nominee,Geoffrey Rush,Shakespeare in Love
1998,supporting_actor,nominee,Billy Bob Thornton,A Simple Plan
1999,supporting_actor,winner,Michael Caine,The Cider House Rules
1999,supporting_actor,nominee,Tom Cruise,Magnolia
1999,supporting_actor,nominee,Michael Clarke Duncan,The Green Mile
1999,supporting_actor,nominee,Jude Law,The Talented Mr. Ripley
1999,supporting_actor,nominee,Haley Joel Osment,The Sixth Sense
2000,supporting_actor,nominee,Jeff Bridges,The Contender
2000,supporting_actor,nominee,Willem Dafoe,Shadow of the Vampire
2000,supporting_actor,winner,Benicio Del Toro,Traffic
2000,supporting_actor,nominee,Albert Finney,Erin Brockovich
2000,supporting_actor,nominee,Joaquin Phoenix,Gladiator
2001,supporting_actor,winner,Jim Broadbent,Iris
2001,supporting_actor,nominee,Ethan Hawke,Training Day
2001,supporting_actor,nominee,Ben Kingsley,Sexy Beast
2001,supporting_actor,nominee,Ian McKellen,The Lord of the Rings: The Fellowship of the Ring
2001,supporting_actor,nominee,Jon Voight,Ali
2002,supporting_actor,winner,Chris Cooper,Adaptation
2002,supporting_actor,nominee,Ed Harris,The Hours
2002,supporting_actor,nominee,Paul Newman,Road to Perdition
2002,supporting_actor,nominee,John C. Reilly,Chicago
2002,supporting_actor,nominee,Christopher Walken,Catch Me If You Can
2003,supporting_actor,nominee,Alec Baldwin,The Cooler
2003,supporting_actor,nominee,Benicio Del Toro,21 Grams
2003,supporting_actor,nominee,Djimon Hounsou,In America
2003,supporting_actor,winner,Tim Robbins,Mystic River
2003,supporting_actor,nominee,Ken Watanabe,The Last Samurai
2004,supporting_actor,nominee,Alan Alda,The Aviator
2004,supporting_actor,nominee,Thomas Haden Church,Sideways
2004,supporting_actor,nominee,Jamie Foxx,Collateral
2004,supporting_actor,winner,Morgan Freeman,Million Dollar Baby
2004,supporting_actor,nominee,Clive Owen,Closer
2005,supporting_actor,winner,George Clooney,Syriana
2005,supporting_actor,nominee,Matt Dillon,Crash
2005,supporting_actor,nominee,Paul Giamatti,Cinderella Man
2005,supporting_actor,nominee,Jake Gyllenhaal,Brokeback Mountain
2005,supporting_actor,nominee,William Hurt,A History of Violence
2006,supporting_actor,winner,Alan Arkin,Little Miss Sunshine
2006,supporting_actor,nominee,Jackie Earle Haley,Little Children
2006,supporting_actor,nominee,Djimon Hounsou,Blood Diamond
2006,supporting_actor,nominee,Eddie Murphy,Dreamgirls
2006,supporting_actor,nominee,Mark Wahlberg,The Departed
2007,supporting_actor,nominee,Casey Affleck,The Assassination of Jesse James by the Coward Robert Ford
2007,supporting_actor,winner,Javier Bardem,No Country for Old Men
2007,supporting_actor,nominee,Philip Seymour Hoffman,Charlie Wilson's War
2007,supporting_actor,nominee,Hal Holbrook,Into the Wild
2007,supporting_actor,nominee,Tom Wilkinson,Michael Clayton
2008,supporting_actor,nominee,Josh Brolin,Milk
2008,supporting_actor,nominee,Robert Downey Jr.,Tropic Thunder
2008,supporting_actor,nominee,Philip Seymour Hoffman,Doubt
2008,supporting_actor,winner,Heath Ledger,The Dark Knight
2008,supporting_actor,nominee,Michael Shannon,Revolutionary Road
2009,supporting_actor,nominee,Matt Damon,Invictus
2009,supporting_actor,nominee,Woody Harrelson,The Messenger
2009,supporting_actor,nominee,Christopher Plummer,The Last Station
2009,supporting_actor,nominee,Stanley Tucci,The Lovely Bones
2009,supporting_actor,winner,Christoph Waltz,Inglourious Basterds
2010,supporting_actor,winner,Christian Bale,The Fighter
2010,supporting_actor,nominee,John Hawkes,Winter's Bone
2010,supporting_actor,nominee,Jeremy Renner,The Town
2010,supporting_actor,nominee,Mark Ruffalo,The Kids Are All Right
2010,supporting_actor,nominee,Geoffrey Rush,The King's Speech
2011,supporting_actor,nominee,Kenneth Branagh,My Week with Marilyn
2011,supporting_actor,nominee,Jonah Hill,Moneyball
2011,supporting_actor,nominee,Nick Nolte,Warrior
2011,supporting_actor,winner,Christopher Plummer,Beginners
2011,supporting_actor,nominee,Max von Sydow,Extremely Loud & Incredibly Close
2012,supporting_actor,nominee,Alan Arkin,Argo
2012,supporting_actor,nominee,Robert De Niro,Silver Linings Playbook
2012,supporting_actor,nominee,Philip Seymour Hoffman,The Master
2012,supporting_actor,nominee,Tommy Lee Jones,Lincoln
2012,supporting_actor,winner,Christoph Waltz,Django Unchained
2013,supporting_actor,nominee,Barkhad Abdi,Captain Phillips
2013,supporting_actor,nominee,Bradley Cooper,American Hustle
2013,supporting_actor,nominee,Michael Fassbender,12 Years a Slave
2013,supporting_actor,nominee,Jonah Hill,The Wolf of Wall Street
2013,supporting_actor,winner,Jared Leto,Dallas Buyers Club
1990,supporting_actress,nominee,Annette Bening,The Grifters
1990,supporting_actress,nominee,Lorraine Bracco,Good Fellas
1990,supporting_actress,winner,Whoopi Goldberg,Ghost
1990,supporting_actress,nominee,Diane Ladd,Wild at Heart
1990,supporting_actress,nominee,Mary McDonnell,Dances With Wolves
1991,supporting_actress,nominee,Diane Ladd,Rambling Rose
1991,supporting_actress,nominee,Juliette Lewis,Cape Fear
1991,supporting_actress,nominee,Kate Nelligan,The Prince of Tides
1991,supporting_actress,winner,Mercedes Ruehl,The Fisher King
1991,supporting_actress,nominee,Jessica Tandy,Fried Green Tomatoes
1992,supporting_actress,nominee,Judy Davis,Husbands and Wives
1992,supporting_actress,nominee,Joan Plowright,Enchanted April
1992,supporting_actress,nominee,Vanessa Redgrave,Howards End
1992,supporting_actress,nominee,Miranda Richardson,Damage
1992,supporting_actress,winner,Marisa Tomei,My Cousin Vinny
1993,supporting_actress,nominee,Holly Hunter,The Firm
1993,supporting_actress,winner,Anna Paquin,The Piano
1993,supporting_actress,nominee,Rosie Perez,Fearless
1993,supporting_actress,nominee,Winona Ryder,The Age of Innocence
1993,supporting_actress,nominee,Emma Thompson,In the Name of the Father
1994,supporting_actress,nominee,Rosemary Harris,Tom & Viv
1994,supporting_actress,nominee,Helen Mirren,The Madness of King George
1994,supporting_actress,nominee,Uma Thurman,Pulp Fiction
1994,supporting_actress,nominee,Jennifer Tilly,Bullets over Broadway
1994,supporting_actress,winner,Dianne Wiest,Bullets over Broadway
1995,supporting_actress,nominee,Joan Allen,Nixon
1995,supporting_actress,nominee,Kathleen Quinlan,Apollo 13
1995,supporting_actress,winner,Mira Sorvino,Mighty Aphrodite
1995,supporting_actress,nominee,Mare Winningham,Georgia
1995,supporting_actress,nominee,Kate Winslet,Sense and Sensibility
1996,supporting_actress,nominee,Joan Allen,The Crucible
1996,supporting_actress,nominee,Lauren Bacall,The Mirror Has Two Faces
1996,supporting_actress,winner,Juliette Binoche,The English Patient
1996,supporting_actress,nominee,Barbara Hershey,The Portrait of a Lady
